,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
13,25,57,0.305,38.0,96.7,103.5,-6.27,1993,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,1994,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,1994,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,1994,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,1994,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,1994,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,1994,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,1994,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,1994,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,1994,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,1994,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,1994,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,1994,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,1994,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,1994,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,1994,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,1994,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,1994,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,1994,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,1994,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,1994,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,1994,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,1994,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,1994,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,1994,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,1994,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,1994,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,1994,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,1995,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,1995,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,1995,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,1995,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,1995,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,1995,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,1995,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,1995,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,1995,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,1995,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,1995,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,1995,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,1995,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,1995,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,1995,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,1995,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,1995,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,1995,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,1995,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,1995,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,1995,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,1995,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,1995,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,1995,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,1995,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,1995,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,1995,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,1996,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,1996,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,1996,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,1996,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,1996,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,1996,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,1996,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,1996,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,1996,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,1996,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,1996,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,1996,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,1996,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,1996,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,1996,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,1996,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,1996,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,1996,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,1996,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,1996,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,1996,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,1996,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,1996,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,1996,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,1996,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,1996,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,1996,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,1997,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,1997,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,1997,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,1997,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,1997,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,1997,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,1997,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,1997,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,1997,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,1997,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,1997,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,1997,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,1997,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,1997,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,1997,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,1997,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,1997,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,1997,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,1997,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,1997,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,1997,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,1997,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,1997,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,1997,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,1997,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,1997,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,1997,Sacramento Kings
