,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,56,26,0.683,—,111.5,105.7,5.22,1998,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,1998,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,1998,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,1998,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,1998,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,1998,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,1998,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,1998,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,1998,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,1998,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,1998,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,1998,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,1998,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,1998,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,1998,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,1998,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,1998,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,1998,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,1998,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,1998,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,1998,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,1998,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,1998,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,1998,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,1998,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,1998,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,1998,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,1999,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,1999,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,1999,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,1999,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,1999,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,1999,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,1999,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,1999,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,1999,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,1999,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,1999,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,1999,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,1999,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,1999,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,1999,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,1999,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,1999,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,1999,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,1999,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,1999,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,1999,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,1999,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,1999,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,1999,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,1999,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,1999,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,1999,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2000,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2000,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2000,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2000,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2000,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2000,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2000,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2000,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2000,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2000,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2000,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2000,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2000,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2000,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2000,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2000,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2000,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2000,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2000,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2000,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2000,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2000,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2000,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2000,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2000,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2000,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2000,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2001,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2001,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2001,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2001,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2001,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2001,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2001,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2001,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2001,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2001,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2001,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2001,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2001,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2001,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2001,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2001,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2001,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2001,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2001,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2001,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2001,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2001,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2001,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2001,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2001,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2001,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2001,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2002,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2002,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2002,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2002,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2002,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2002,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2002,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2002,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2002,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2002,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2002,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2002,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2002,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2002,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2002,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2002,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2002,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2002,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2002,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2002,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2002,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2002,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2002,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2002,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2002,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2002,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2002,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2003,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2003,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2003,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2003,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2003,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2003,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2003,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2003,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2003,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2003,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2003,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2003,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2003,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2003,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2003,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2003,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2003,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2003,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2003,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2003,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2003,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2003,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2003,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2003,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2003,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2003,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2003,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2004,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2004,Philadelphia 76ers*
